tempo (s),modo_1,modo_2,modo_3,modo_4,modo_5,modo_6,modo_7,modo_8,modo_9,modo_10,modo_11,modo_12,modo_13,modo_14,modo_15,modo_16,modo_17,modo_18,modo_19,modo_20
0.0,2.2218059860940497e-08,2.0505588278235555e-07,-3.5744260706612723e-09,-1.4682271676977434e-08,-1.4419695872267387e-08,1.0660812630597884e-09,3.4611148332693822e-09,-1.895608912584304e-09,1.366713557588314e-10,3.3968119563126646e-09,-5.004435147563011e-09,-1.5677923492848593e-09,3.698961203951116e-10,5.3015343702294e-09,-2.3024350514652068e-09,-1.351324539152825e-09,-9.968941384498212e-10,-4.1078186757495714e-10,9.89916581855037e-10,1.7410757421630653e-09
0.022675736961451247,-1.0710632926469029e-09,6.555924794648275e-08,-3.045405510281857e-08,-1.2597175707383424e-08,3.601077163414556e-08,4.7937681691997664e-09,-3.2122590582786076e-09,-1.1291880681196058e-08,6.8376672819506415e-09,2.607947417496434e-10,-1.0534674808973059e-08,-1.9838969567189077e-09,-3.1189505183796885e-09,-3.4876963262225712e-09,-6.106418121554056e-09,2.391698947373735e-09,-1.1130256762106184e-09,-2.1122265197245766e-09,-7.183022370527836e-10,1.7259357980231512e-10
0.045351473922902494,1.0430192825585683e-06,1.3144073344760715e-07,-2.1709850071621543e-06,-1.040831971413448e-07,-3.7232749596428387e-07,4.085321071097761e-07,-1.5938971865713577e-07,6.992352339350014e-08,-1.1822362330067978e-07,3.4242096345719066e-09,-1.678346637618599e-08,-4.1566440237951954e-08,1.2848800557983818e-08,-4.093639892915238e-08,-1.082374805715939e-08,5.89594021871428e-09,-3.677517626358214e-08,-2.3092775642335837e-08,-8.50438360283866e-09,-2.292633769901234e-08
0.06802721088435375,2.615481224277269e-07,-1.336833445512128e-06,-2.0579167054986268e-07,-1.0749297257071383e-06,-5.490131664989528e-07,-5.621191843536159e-08,-1.2863754707282028e-07,-8.644386300675998e-08,1.0439602853451602e-08,-4.385536177709337e-08,2.21474740991088e-08,1.6896562512880542e-08,3.011968378039544e-08,-3.986753235465888e-09,-5.204448561804172e-09,9.463651782085317e-10,-3.383259130025831e-10,7.411280885645665e-09,9.486898072346437e-09,8.309862097605164e-09
0.09070294784580499,-5.380154512912961e-07,-5.531227459275191e-08,-7.716958225503911e-07,9.25777251940513e-07,3.0874488008810706e-07,-1.599781981428609e-07,-1.0746354514814187e-07,2.3268711587141427e-08,9.495878466076144e-08,-1.25039768759499e-07,-8.112066838161754e-08,2.3276822237663214e-08,-2.9199953850207135e-08,5.210004601571449e-08,-1.6200483141474194e-09,5.82077393143602e-10,-4.5195956556233635e-09,5.517730862855614e-09,-2.988933787262634e-08,-1.1122944437194238e-08
0.11337868480725624,-1.2057367969603291e-06,-1.2626096044048727e-06,-2.982175554397907e-07,-7.026082420315257e-07,-6.450588870113824e-08,-5.6080970073262786e-08,-1.7985313625999457e-07,-6.53783479650012e-08,5.187902102726225e-08,-1.1637596257163074e-07,7.796063914645611e-09,3.827419558936243e-08,-3.327606605171907e-09,2.9974534705808076e-08,2.4141340662509548e-09,1.5220805320448474e-08,1.630884943131454e-08,-8.56559143914998e-09,-3.97249378612099e-09,-2.2870650144120897e-08
0.1360544217687075,8.312185184496975e-07,-7.320808679371954e-07,4.4706414624401735e-08,4.155529180793635e-07,-4.914484155516767e-08,1.8100637669836214e-08,-1.9091819400282883e-07,-4.448995467230319e-08,-2.66771119466902e-08,2.1550634706098756e-08,-1.7692271173678567e-07,-5.8764008130651714e-08,-6.760457076374642e-09,-3.4756515335139166e-08,-7.813454535520604e-09,4.53486112383729e-09,2.7719297682271927e-09,-7.424374310978759e-09,-1.2329145899304082e-08,2.1912050459406744e-09
0.15873015873015872,4.374954579250366e-06,1.548840694019782e-07,-4.810833747298233e-07,-3.525622078045813e-07,1.5803593339034176e-07,4.613964803004897e-08,-1.6257650420919232e-07,-2.0485603918898023e-08,-1.5387006340751514e-08,-1.9630072632669827e-08,-1.4308133187373017e-07,-1.271364192792975e-07,1.3650389246756222e-08,-3.656690205482712e-08,-1.4077450359653894e-08,-6.034928362960075e-10,-9.86995344218213e-09,-1.553517886863247e-08,-1.1285944287368876e-09,-4.3464536915102735e-09
0.18140589569160998,5.892810948566279e-06,-3.0361783754388716e-07,3.7810534675865654e-07,1.3469330147912033e-07,-2.297809827447014e-08,4.112954649005754e-09,-1.2459772676000066e-07,-5.302200666731938e-08,3.9785760084258455e-09,-6.644078655290807e-08,3.0358666698245674e-09,-2.5054774483047636e-09,1.4322666435549112e-08,-1.6941077633804232e-08,1.2268914140963588e-09,-1.560992119572736e-08,-1.1401684537317594e-08,-6.168506644505015e-09,3.731101174961883e-09,2.4578375409687936e-09
0.20408163265306123,4.6633138435425596e-06,-7.913334148856675e-07,-4.1202716292185935e-07,-2.075973238984906e-07,-2.445341119289385e-08,2.559669187428949e-08,-1.918785379812317e-08,1.3514921002616862e-08,-3.380115035023799e-09,1.4740400218667598e-09,5.95001187345009e-08,9.680540715742682e-08,-6.974431878452452e-09,8.495135535302957e-10,-2.9974400735947616e-09,-7.702633422950082e-09,-5.920922470655403e-09,-8.217780611208075e-09,2.665937776800178e-09,-3.816400790661313e-09
0.22675736961451248,1.7194079623774231e-06,-7.054324548607726e-07,1.006559315915905e-07,8.644729078082942e-09,-9.046989238166883e-08,2.1562752572431976e-08,4.2292985151824295e-08,1.1388889602268505e-08,-2.5917108900808456e-08,-6.720154703090082e-09,1.0724511261726793e-08,-7.71808713810137e-08,-2.178141531296303e-08,1.8132119642176528e-08,-2.672408488788048e-09,4.654950674689899e-09,4.018738119322709e-09,3.0934421477665614e-09,7.111682161677773e-10,-4.746815720663377e-09
